Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x2d8d2ca2d6ff8521c245bf19ba3b1b43c40b353c8d3857d9d8f72ed28958c245,15454174,1662053382,2022-09-01 17:29:42,0xd7a029db2585553978190db5e85ec724aa4df23f,0x4e5cb586c2ee0d0f42891b705061d2ea42b236dc,"12,306.096629655000000000",Exec Transaction
0xd0465ad390a9ab44d6f3f4bfe4d1a59c967f96f4aa62269ea45ff57bad09f1a0,15474561,1662334820,2022-09-04 23:40:20,0xd7a029db2585553978190db5e85ec724aa4df23f,0x2cd5bb500066b913d320fc9ac52a72422915c422,"82,496.045022470300000000",Claim
0x63c07d6d4320358a975a084f0df2b85ec37552082478be7e17b4ffef4ea72eb6,15536596,1663212359,2022-09-15 03:25:59,0xd7a029db2585553978190db5e85ec724aa4df23f,0x690f0581ececcf8389c223170778cd9d029606f2,"595,256.468318360000000000",Exec Transaction
0xda9a7116c898940040e3e7da59079ed5cf30b5c3127abbd8eab6ea6af1debd89,15598627,1663967207,2022-09-23 21:06:47,0xd7a029db2585553978190db5e85ec724aa4df23f,0x4e5cb586c2ee0d0f42891b705061d2ea42b236dc,"7,826.300162243010000000",Exec Transaction
0xb391a24e334d5b31c91ac62ae6c252460e961a0dace355a77822b312e73f8942,15777036,1666120763,2022-10-18 19:19:23,0xd7a029db2585553978190db5e85ec724aa4df23f,0x2cd5bb500066b913d320fc9ac52a72422915c422,"103,075.725697737000000000",Claim
0x5541759c45ceb5ed1be2e3fe0effbcdb9065e23adbf614dbfa775418b5c34fe3,15783163,1666194695,2022-10-19 15:51:35,0xd7a029db2585553978190db5e85ec724aa4df23f,0x4e5cb586c2ee0d0f42891b705061d2ea42b236dc,"9,056.867442391060000000",Exec Transaction
0x2bf43ba3292f4a0152d845d5b818d7b514151fc87e4081fc071824ffb5bd42a9,15792251,1666304363,2022-10-20 22:19:23,0xd7a029db2585553978190db5e85ec724aa4df23f,0x065256e9d57e526d64a143770e4231622be1b18d,"4,574.892804432210000000",Claim
0x7f678192dbdf1ec7f173a93ff2b98f8a039116c361353dd68ef3031fe80b1e5c,15905136,1667667251,2022-11-05 16:54:11,0xd7a029db2585553978190db5e85ec724aa4df23f,0x084b1c3c81545d370f3634392de611caabff8148,0,Exec Transaction
0xa3c6c0f7b9a7f322e16909b6afec05b8c64ea37f60b39bcd81247bfa3900f0aa,15953353,1668249119,2022-11-12 10:31:59,0xd7a029db2585553978190db5e85ec724aa4df23f,0x8866316926b467340c02a56f543b1ce6c19ed1e1,"2,530.868930062810000000",Claim
0x60572e3fbcb4e6b9391ee00bc5a5e12fd79e28b93048d41b309c02b33780c75e,15965739,1668398327,2022-11-14 03:58:47,0xd7a029db2585553978190db5e85ec724aa4df23f,0xcbccbfc1035fda10cdf5e614b08dff1cd0119ee7,0,Claim
0x7a63ed2d98c2e5c1055cb9c518bfd0e0b860ad030a7214413f3b57a4063f692a,15965772,1668398723,2022-11-14 04:05:23,0xd7a029db2585553978190db5e85ec724aa4df23f,0xcbccbfc1035fda10cdf5e614b08dff1cd0119ee7,"2,135.832444035670000000",Claim
0xf69c9ab0d53735f11bbaf0109744506285d89a5322eba8a0e8251e192805fda7,15986112,1668644327,2022-11-17 00:18:47,0xd7a029db2585553978190db5e85ec724aa4df23f,0x5555763613a12d8f3e73be831dff8598089d3dca,"4,841.964123454020000000",Claim
0x07fc9ad171e664d6a4c2ccff514f943ecf15573b392d46f90624f2633ac2f674,16020259,1669056263,2022-11-21 18:44:23,0xd7a029db2585553978190db5e85ec724aa4df23f,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,"6,010.123155753290000000",Claim
0x3a8fec0e48f4d717a099aa3e8ac8354767e2ed48eb7ef14bdf61871ee7e847b8,16085370,1669842347,2022-11-30 21:05:47,0xd7a029db2585553978190db5e85ec724aa4df23f,0x4e5cb586c2ee0d0f42891b705061d2ea42b236dc,"14,364.495398889600000000",Exec Transaction
